用語,正しい意味,不正解1,不正解2,やさしい日本語,インドネシア語,解説,画像ファイル名
誤嚥,食べ物が気管に入ること,熱が出ること,血圧を測ること,食べ物が のどではなく 気管に 入る,Aspirasi,食事中にむせる原因になり、命に関わることもある,goen.png
転倒,立ったまま倒れること,食事を手伝うこと,着替えをすること,たっていて ころぶ,Jatuh,高齢者では骨折につながりやすい,tentou.png
転落,高い場所から落ちること,口をきれいにすること,水分を飲むこと,ベッドなど 高いところから 落ちる,Jatuh dari tempat tinggi,ベッドや車いすから落ちる事故,tenraku.png
窒息,呼吸ができない状態,足がむくむ状態,車いすへ移ること,息が できない,Tersedak / Mati lemas,食べ物などで呼吸できない危険状態,chissoku.png
発熱,熱がある状態,ベッドで休むこと,衣服を交換すること,熱が ある,Demam,感染症などのサインになる,hatsunetsu.png
急変,急に体調が悪くなること,ゆっくり歩くこと,手を洗うこと,急に 体の状態が 悪くなる,Kondisi memburuk mendadak,すぐ報告が必要,kyuuhenn.png
脱水,体の水分が不足すること,骨が折れること,眠くなること,体の水が 足りない,Dehidrasi,夏場や高齢者に多い,dassui.png
感染症,人にうつる病気,転ぶこと,歯を磨くこと,病気が 人に うつる,Penyakit menular,コロナやインフルエンザなど,kansennsyou.png
褥瘡,長時間同じ姿勢でできる傷,呼吸が止まること,車いすを押すこと,長く寝て できる傷,Luka tekan,「床ずれ」とも言う,shinhan.png
バイタル,体温や血圧などの健康状態,食事のメニュー,ベッドの種類,体温や 血圧など,Tanda vital,健康状態を確認する数値,baitaru.png
介助,動作を手伝うこと,薬を作ること,部屋を掃除すること,手伝う,Membantu perawatan,利用者の動作を支援する,kaijo.png
移乗,ベッドから車いすへ移ること,食事を運ぶこと,入浴すること,ベッドから 車いすへ うつる,Transfer pasien,転倒に注意が必要,no.png
体位変換,寝る向きを変えること,水を飲ませること,服を洗うこと,寝る向きを 変える,Mengubah posisi tubuh,床ずれ防止のため行う,no.png
排泄,トイレをすること,歩く練習をすること,爪を切ること,トイレを する,Buang air,排泄介助は基本業務,haisetsu.png
更衣,服を着替えること,部屋を移動すること,血圧を測ること,服を 着替える,Ganti pakaian,朝や入浴後に行う,koui.png
食事介助,食事を手伝うこと,髪を切ること,体温を下げること,食事を 手伝う,Membantu makan,誤嚥に注意しながら行う,syokujikaijo.png
口腔ケア,口の中を清潔にすること,ベッドを動かすこと,手袋を交換すること,口を きれいにする,Perawatan mulut,歯みがきやうがいなど,koukuukea.png
清拭,体を拭くこと,注射をすること,靴を履かせること,体を ふく,Membersihkan tubuh,入浴できない時に行う,seisyoku.png
見守り,安全を確認しながら近くで見ること,薬を飲むこと,書類を書くこと,近くで 安全を 確認する,Mengawasi,必要時のみ手助けする,no.png
誘導,行きたい場所へ案内すること,食事を作ること,血液を調べること,行きたい場所へ 案内する,Membimbing,トイレ誘導などがある,no.png
ナースコール,職員を呼ぶためのボタン,車いすのブレーキ,食事用の机,職員を 呼ぶボタン,Bel perawat,利用者が助けを呼ぶために使う,nasukoru.png
申し送り,職員同士で情報共有すること,利用者を入浴させること,ゴミを集めること,次の職員へ 情報を 伝える,Serah terima informasi,重要な変化を共有する,moushiokuri.png
記録,行ったケアを書くこと,食器を洗うこと,窓を開けること,したことを 書く,Catatan,介護内容を残す,kiroku.png
巡視,部屋を見回ること,食事を食べること,服をたたむこと,部屋を 見てまわる,Pemeriksaan keliling,夜間に行うことが多い,junshi.png
離床,ベッドから起きること,体温を測ること,手を消毒すること,ベッドから 起きる,Bangun dari tempat tidur,長時間寝たきり防止になる,risyou.png
臥床,ベッドで横になること,車いすを押すこと,廊下を掃除すること,ベッドで 横になる,Berbaring di tempat tidur,休憩や睡眠の状態,rinsyou.png
認知症,記憶力や判断力が低下する病気,骨折のこと,血圧が高いこと,忘れやすくなる病気,Demensia,高齢者に多い病気,ninchisyou.png
麻痺,体が動かしにくい状態,食欲がない状態,熱が下がること,体が 動きにくい,Kelumpuhan,脳梗塞後などに起こる,mahi.png
拘縮,関節が固く動きにくい状態,咳が出ること,眠れないこと,関節が 固くなる,Kontraktur,手足が動かしにくくなる,kousyoku.png
むせ込み,食事中に咳が出ること,足が痛くなること,耳が聞こえにくいこと,食べている時に せきが出る,Tersedak ringan,誤嚥のサインになる,musekomi.png
